Table 1
Rk,Player,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,Pos.,Player-additional
87,De'Aaron Fox,2021-11-12,23-327,SAC,@,OKC,L 103-105,1,35,5,14,0.357,3,7,0.429,2,7,0.286,4,5,0.800,0.494,0,1,1,5,0,0,2,2,16,8.8,-4.2,G,foxde01
88,De'Aaron Fox,2021-11-10,23-325,SAC,@,SAS,L 117-136,1,35,14,24,0.583,12,19,0.632,2,5,0.400,7,8,0.875,0.672,0,2,2,6,1,3,4,3,37,28.1,9.7,G,foxde01
89,De'Aaron Fox,2021-11-08,23-323,SAC,,PHO,L 104-109,1,35,8,19,0.421,7,18,0.389,1,1,1.000,7,11,0.636,0.503,0,4,4,5,3,3,5,3,24,15.9,4.6,G,foxde01
90,De'Aaron Fox,2021-11-07,23-322,SAC,,IND,L 91-94,1,35,7,19,0.368,6,16,0.375,1,3,0.333,2,2,1.000,0.428,0,3,3,2,3,0,3,3,17,7.6,-6.2,G,foxde01
91,De'Aaron Fox,2021-11-05,23-320,SAC,,CHO,W 140-110,1,29,7,15,0.467,7,12,0.583,0,3,0.000,7,7,1.000,0.581,1,2,3,9,1,0,2,3,21,18.7,2.3,G,foxde01
92,De'Aaron Fox,2021-11-03,23-318,SAC,,NOP,W 112-99,1,38,8,14,0.571,6,11,0.545,2,3,0.667,1,2,0.500,0.638,0,2,2,5,1,0,1,2,19,15.3,-1.0,G,foxde01
93,De'Aaron Fox,2021-11-02,23-317,SAC,@,UTA,L 113-119,1,35,4,15,0.267,4,11,0.364,0,4,0.000,5,7,0.714,0.360,1,1,2,9,3,1,3,6,13,8.9,-4.6,G,foxde01
94,De'Aaron Fox,2021-10-31,23-315,SAC,@,DAL,L 99-105,1,39,5,16,0.313,4,12,0.333,1,4,0.250,3,5,0.600,0.385,2,6,8,4,0,0,3,1,14,6.6,-7.0,G,foxde01
95,De'Aaron Fox,2021-10-29,23-313,SAC,@,NOP,W 113-109,1,37,9,21,0.429,8,14,0.571,1,7,0.143,4,4,1.000,0.505,1,6,7,5,0,0,4,3,23,12.7,-6.5,G,foxde01
96,De'Aaron Fox,2021-10-27,23-311,SAC,@,PHO,W 110-107,1,37,7,20,0.350,6,15,0.400,1,5,0.200,3,7,0.429,0.390,1,1,2,10,1,0,2,3,18,11.0,-3.5,G,foxde01
97,De'Aaron Fox,2021-10-24,23-308,SAC,,GSW,L 107-119,1,34,8,16,0.500,7,10,0.700,1,6,0.167,0,1,0.000,0.517,2,3,5,6,0,0,7,3,17,6.9,-8.9,G,foxde01
98,De'Aaron Fox,2021-10-22,23-306,SAC,,UTA,L 101-110,1,35,5,19,0.263,5,14,0.357,0,5,0.000,2,4,0.500,0.289,2,1,3,5,5,0,3,2,12,6.3,-3.8,G,foxde01
99,De'Aaron Fox,2021-10-20,23-304,SAC,@,POR,W 124-121,1,36,9,22,0.409,7,14,0.500,2,8,0.250,7,10,0.700,0.511,0,5,5,8,0,1,5,5,27,14.8,-5.3,G,foxde01
